objectid,fid_blockg,statefp10,countyfp10,tractce10,blkgrpce10,geoid10,namelsad10,mtfcc10,funcstat10,aland10,awater10,intptlat10,intptlon10,shape_leng,fid_neighb,area,perimeter,neighbor_,neighbor_i,neighborhood,hood_no,acres,sqmiles,dpwdiv,unique_id,sectors,shape_le_1,shape_ar_1,page_number,plannerassign,created_user,created_date,last_edited_user,last_edited_date,temp,Shape__Area,Shape__Length
1293,201,42,3,980600,1,4.2004E+11,Block Group 1,G5030,S,982752,473795,40.4518148,-80.0280506,19600.68312,64,10688264,80995.80627,35,2117,Chateau,22,246.501,0.383,1,113,3,19607.97613,10688263.84,15,Stephanie Joy Everett,pgh.admin,2020/08/14 14:52:26.925+00,pgh.admin,2020/08/14 14:52:26.925+00,,10687956.97,19600.57308
1294,10,42,3,261200,1,4.20033E+11,Block Group 1,G5030,S,1057787,0,40.4922173,-80.0081121,20906.8295,9,12232021,80995.80627,2,2084,Summer Hill,81,282.104,0.439,1,57,1,20910.93441,12232020.3,15,Stephanie Joy Everett,pgh.admin,2020/08/14 14:52:26.925+00,pgh.admin,2020/08/14 14:52:26.925+00,,11332077.93,21174.47333
1295,11,42,3,260900,1,4.20033E+11,Block Group 1,G5030,S,812036,0,40.4776383,-80.0025945,13757.33203,10,8739570,80995.80627,10,2092,Northview Heights,58,201.558,0.313,1,113,1,13813.63754,8739570.228,15,Stephanie Joy Everett,pgh.admin,2020/08/14 14:52:26.925+00,pgh.admin,2020/08/14 14:52:26.925+00,,8743618.449,13811.91717
1296,7,42,3,262000,1,4.20033E+11,Block Group 1,G5030,S,607576,0,40.4632158,-79.994168,12055.42615,7,17550592,80995.80627,16,2098,Spring Hill-City View,75,404.765,0.63,1,23,1,18197.81989,17550591.77,15,Stephanie Joy Everett,pgh.admin,2020/08/14 14:52:26.925+00,pgh.admin,2020/08/14 14:52:26.925+00,,17549348.47,18197.74574
1297,8,42,3,261500,1,4.20033E+11,Block Group 1,G5030,S,350522,0,40.4733966,-80.0097343,8208.50481,8,25220622,80995.80627,14,2096,Perry South,62,581.656,0.905,1,21,2,26399.69853,25220621.17,15,Stephanie Joy Everett,pgh.admin,2020/08/14 14:52:26.925+00,pgh.admin,2020/08/14 14:52:26.925+00,,25224200.96,26390.54931
1298,31,42,3,250900,2,4.20033E+11,Block Group 2,G5030,S,384629,0,40.464157,-80.0039415,13652.21471,19,6958774,80995.80627,24,2106,Fineview,33,160.488,0.25,1,81,3,12677.5559,6958774.071,15,Stephanie Joy Everett,pgh.admin,2020/08/14 14:52:26.925+00,pgh.admin,2020/08/14 14:52:26.925+00,,6962440.081,12620.54903
1299,58,42,3,250300,1,4.20033E+11,Block Group 1,G5030,S,243738,0,40.4584905,-80.0120067,7703.44619,27,7218352,80995.80627,38,2120,Central Northside,19,166.475,0.259,1,6,3,14371.73639,7218351.661,15,Stephanie Joy Everett,pgh.admin,2020/08/14 14:52:26.925+00,pgh.admin,2020/08/14 14:52:26.925+00,,7219560.545,14391.31423
1300,59,42,3,241200,2,4.20032E+11,Block Group 2,G5030,S,172183,0,40.4600565,-79.9915198,7283.454921,28,7653279.5,80995.80627,15,2097,Spring Garden,74,176.506,0.275,1,18,1,21452.69188,7653278.967,15,Stephanie Joy Everett,pgh.admin,2020/08/14 14:52:26.925+00,pgh.admin,2020/08/14 14:52:26.925+00,,7656110.673,21431.62621
1301,61,42,3,240600,2,4.20032E+11,Block Group 2,G5030,S,495750,0,40.4611811,-79.9859947,14534.3786,29,10717292,80995.80627,21,2103,Troy Hill,84,247.17,0.384,1,94,1,20630.79316,10717291.9,15,Stephanie Joy Everett,pgh.admin,2020/08/14 14:52:26.925+00,pgh.admin,2020/08/14 14:52:26.925+00,,12838152.04,29607.52601
1302,64,42,3,563200,3,4.20036E+11,Block Group 3,G5030,S,315029,0,40.4572599,-79.9976543,11102.62869,30,6577919.5,80995.80627,39,2121,East Allegheny,26,151.705,0.236,1,57,3,14425.91062,6577919.63,15,Stephanie Joy Everett,pgh.admin,2020/08/14 14:52:26.925+00,pgh.admin,2020/08/14 14:52:26.925+00,,6580347.741,14429.46389
1303,89,42,3,210700,2,4.20032E+11,Block Group 2,G5030,S,359658,0,40.4578695,-80.0264589,9100.227534,40,7785965.5,80995.80627,34,2116,Manchester,49,179.566,0.279,1,23,3,12528.44199,7785965.497,15,Stephanie Joy Everett,pgh.admin,2020/08/14 14:52:26.925+00,pgh.admin,2020/08/14 14:52:26.925+00,,7786246.772,12521.87516
1304,152,42,3,562700,1,4.20036E+11,Block Group 1,G5030,S,374415,0,40.4507843,-80.0144032,8746.405189,56,3938870.2,80995.80627,49,2131,Allegheny West,2,90.841,0.141,1,21,3,8658.042051,3938870.377,15,Stephanie Joy Everett,pgh.admin,2020/08/14 14:52:26.925+00,pgh.admin,2020/08/14 14:52:26.925+00,,3938762.534,8746.405335
1305,119,42,3,563200,1,4.20036E+11,Block Group 1,G5030,S,316619,138447,40.449658,-79.9981098,9418.516409,46,8455805,80995.80627,51,2133,North Shore,57,195.014,0.303,1,18,16,17994.08755,8455804.954,15,Derek Dauphin,pgh.admin,2020/08/14 14:52:26.925+00,pgh.admin,2020/08/14 14:52:26.925+00,,8464134.656,18012.26041
1306,178,42,3,562700,2,4.20036E+11,Block Group 2,G5030,S,535964,5234,40.4515765,-80.0053403,10563.7917,60,5840713,80995.80627,46,2128,Allegheny Center,1,134.703,0.21,1,19,3,10570.41483,5840713.265,15,Stephanie Joy Everett,pgh.admin,2020/08/14 14:52:26.925+00,pgh.admin,2020/08/14 14:52:26.925+00,,5831492.816,10563.79146
1307,181,42,3,270800,3,4.20033E+11,Block Group 3,G5030,S,633737,0,40.4865869,-80.0297229,13818.09763,61,31143860,80995.80627,4,2086,Brighton Heights,13,718.262,1.117,1,23,2,26060.68413,31143860.75,15,Stephanie Joy Everett,pgh.admin,2020/08/14 14:52:26.925+00,pgh.admin,2020/08/14 14:52:26.925+00,,31151103.56,26096.44237
1308,240,42,3,980900,1,4.2004E+11,Block Group 1,G5030,S,1453388,854869,40.4659231,-80.0458881,13293.01044,72,6426350.5,80995.80627,19,2101,Marshall-Shadeland,50,148.209,0.231,1,0,2,13293.01044,6426350.594,15,Stephanie Joy Everett,pgh.admin,2020/08/14 14:52:26.925+00,pgh.admin,2020/08/14 14:52:26.925+00,,34949162.66,50372.65698
1309,57,42,3,250700,1,4.20033E+11,Block Group 1,G5030,S,560320,0,40.4599421,-80.0218657,11709.51881,90,6050988,80995.80627,29,2111,California-Kirkbride,15,139.552,0.217,1,25,3,11711.30125,6050987.839,15,Stephanie Joy Everett,pgh.admin,2020/08/14 14:52:26.925+00,pgh.admin,2020/08/14 14:52:26.925+00,,6050816.779,11709.51878
1310,0, , , , , , , , ,0,0, , ,0,1292,,80995.80627,0,0,Perry North,61,0,0,0,0,2,0,0,15,Stephanie Joy Everett,pgh.admin,2020/08/14 14:52:26.925+00,pgh.admin,2020/08/14 14:52:26.925+00,,34667400.03,31289.38441
1311,221,42,3,562900,2,4.20036E+11,Block Group 2,G5030,S,4488597,20843,40.3937604,-79.9499181,56370.85291,70,48800708,87456.39013,91,2173,Hays,38,1125.478,1.75,4,24,8,56384.66908,48800707.25,15,Ose Akinlotan,pgh.admin,2020/08/14 14:52:26.925+00,pgh.admin,2020/08/14 14:52:26.925+00,,48800630.17,56384.76315
