Neighborhood,Census Tracts
Allegheny Center,562700
Allegheny West,562700
Allentown,180300
Arlington,561600
Arlington Heights,561600
Banksville,202300
Bedford Dwellings,50900
Beechview,191600
Beltzhoover,562400
Bloomfield,"80200, 80400, 80600, 80900, 90300"
Bluff,10300
Bon Air,562400
Brighton Heights,"270100, 270300, 270800"
Brookline,"191700, 191800, 191900, 320600"
California Kirkbride,250700
Carrick,"290100, 290200, 290400"
Central Lawrenceville,"90100, 90200, 981000"
Central Northside,"220600, 250300"
Central Oakland,"40500, 40600"
Chartiers City,563000
Chateau,980600
Crafton Heights,"281400, 281500"
Crawford-Roberts,30500
Duquesne Heights,191100
East Allegheny,563200
East Carnegie,562800
East Hills,130600
East Liberty,"111300, 111500"
Elliott,562600
Esplen,562500
Fairywood,563000
Fineview,250900
Friendship,80700
Garfield,"101600, 101700, 111400"
Glen Hazel,562300
Golden Triangle/Civic Arena,20100
Greenfield,"151600, 151700"
Hays,562900
Hazelwood,"562300, 562900"
Highland Park,"110200, 110600"
Homewood North,"130100, 130200"
Homewood South,"130300, 130400"
Homewood West,120700
Knoxville,300100
Larimer,"120400, 120800"
Lincoln-Lemington-Belmar,"120300, 561900, 980000, 981800"
Lincoln Place,310200
Lower Lawrenceville,60300
Manchester,210700
Marshall-Shadeland,"270400, 271500, 980900"
Middle Hill,50100
Morningside,101400
Mount Oliver Neighborhood,561700
Mount Washington,"180700, 190300, 191400, 191500"
New Homestead,310300
North Oakland,"40400, 562000"
North Shore,"563200, 981200"
Northview Heights,260900
Oakwood,562800
Overbrook,"320400, 320700"
Perry North,"260200, 260700, 980400"
Perry South,"261400, 261500"
Point Breeze,"140400, 140600, 981100"
Point Breeze North,140500
Polish Hill,60500
Regent Square,141000
Ridgemont,563100
Saint Clair,160600
Shadyside,"70300, 70500, 70600, 70800, 70900"
Sheraden,"202200, 562500"
South Oakland,"40900, 980800"
South Shore,980700
South Side Flats,"160900, 170200"
South Side Slopes,"160800, 170600"
Spring Garden,241200
Spring Hill – City View,262000
Squirrel Hill North,"140100, 140200, 140300"
Squirrel Hill South,"140800, 141300, 141400, 980300, 980500"
Stanton Heights,"100500, 101800"
Strip District,20300
Summer Hill,261200
Swisshelm Park,141100
Terrace Village,"40200, 51000, 51100"
Troy Hill,240600
Upper Hill,50600
Upper Lawrenceville,101100
West End,562600
West Oakland,40200
Westwood,563100
Windgap,563000
