TRACT,Pre1950
10300,0.658477
20100,0.321088
20300,0.724907
30500,0.324117
40200,0.463549
40400,0.405292
40500,0.547655
40600,0.490532
40900,0.613667
50100,0.540088
50600,0.60877
50900,0.494751
51000,0.197163
51100,0.738431
60300,0.715549
60500,0.843049
70300,0.59306
70500,0.578623
70600,0.422666
70800,0.442815
70900,0.438115
80200,0.825301
80400,0.72963
80600,0.879556
80700,0.553542
80900,0.6589
90100,0.88173
90200,0.828135
90300,0.823293
100500,0.226396
101100,0.85543
101400,0.787021
101600,0.428161
101700,0.637405
101800,0.58749
110200,0.745016
110600,0.676964
111300,0.707692
111400,0.711382
111500,0.282576
120300,0.611422
120400,0.559735
120700,0.733696
120800,0.904762
130100,0.743519
130200,0.880952
130300,0.398515
130400,0.680532
130600,0.353866
140100,0.671391
140200,0.474977
140300,0.72179
140400,0.671301
140500,0.585366
140600,0.770514
140800,0.670526
141000,0.915811
141100,0.576138
141300,0.678835
141400,0.424324
151600,0.673998
151700,0.653287
160800,0.891181
160900,0.599893
170200,0.729663
170600,0.847349
180300,0.658628
180700,0.742019
190300,0.707038
191100,0.560345
191400,0.64104
191500,0.746814
191600,0.636752
191700,0.431515
191800,0.64941
191900,0.733641
192000,0.584158
202200,0.683447
202300,0.176281
210700,0.639633
220600,0.779854
240600,0.831875
241200,0.801066
250300,0.905109
250700,0.627907
250900,0.802532
260200,0.760075
260700,0.797933
260900,0.270588
261200,0.656489
261400,0.651976
261500,0.566557
262000,0.734582
270100,0.874126
270300,0.77907
270400,0.747664
270800,0.502622
271500,0.796455
281400,0.441176
281500,0.601955
290100,0.763182
290200,0.713159
290400,0.658718
300100,0.809329
310200,0.509506
310300,0.292621
320400,0.590323
320600,0.496762
320700,0.570529
401100,0.307229
401200,0.617838
401300,0.659259
402000,0.535176
403500,0.567926
404000,0.582228
405000,0.29588
406000,0.40628
407001,0.285043
407002,0.228315
408001,0.222542
408002,0.079481
409000,0.123176
410000,0.221154
411000,0.099735
412001,0.050155
412002,0.098369
413100,0.064144
413201,0.09375
413202,0.150988
413300,0.098182
413400,0.056771
413500,0.033322
414101,0.037506
414102,0.145729
414200,0.178646
415001,0.283491
415002,0.297753
416000,0.265957
417100,0.515152
417200,0.479256
418000,0.334906
419000,0.299197
420000,0.489535
421100,0.218182
421200,0.258378
422000,0.271693
423000,0.511173
424000,0.552391
425000,0.621835
426300,0.256132
426400,0.431487
426700,0.200669
426800,0.058271
427000,0.741272
427100,0.158375
427200,0.370686
428100,0.672355
428200,0.110302
429100,0.362703
429201,0.143157
429202,0.157121
429300,0.107704
429400,0.412329
429500,0.111632
429600,0.302624
429700,0.193315
430100,0.637205
430200,0.596467
431100,0.63206
431400,0.687081
431500,0.525468
432300,0.485692
432400,0.540731
434000,0.7775
435000,0.532468
437000,0.080622
439000,0.322917
445500,0.648577
446000,0.667178
447000,0.401869
448000,0.720126
449000,0.25876
450700,0.666667
450800,0.578985
451101,0.04875
451102,0.170124
451104,0.126848
451105,0.118
451300,0.130598
452000,0.209011
453003,0.148936
453004,0.023883
455000,0.45098
456001,0.342222
456003,0.173016
456004,0.031883
457100,0.398533
457200,0.403125
458000,0.241017
459101,0.152012
459102,0.099092
459201,0.057152
459202,0.030364
460001,0.204938
460002,0.125421
461000,0.559016
462100,0.514434
462600,0.667188
463900,0.636364
464300,0.625452
464400,0.546214
465600,0.561256
465800,0.692628
468700,0.641204
468800,0.590101
468900,0.478125
469000,0.251678
470300,0.09711
470400,0.225569
470501,0.080886
470502,0.138973
470600,0.623788
471000,0.618401
472100,0.679811
472200,0.767504
472300,0.797271
472400,0.814286
473100,0.641324
473200,0.584597
473300,0.511658
473401,0.641698
473402,0.3402
473500,0.648467
473601,0.472288
473602,0.123262
474101,0.193428
474102,0.183892
474201,0.023732
474202,0.016037
474203,0.087195
475101,0.152535
475102,0.221893
475200,0.277551
475301,0.205545
475303,0.088512
475304,0.047865
475401,0.186853
475402,0.101792
476100,0.26186
476200,0.282306
477100,0.214669
477200,0.257204
477300,0.2026
478100,0.560851
478200,0.514341
479000,0.410023
480101,0.358253
480102,0.231114
480200,0.251389
480300,0.295393
480400,0.175068
481000,0.79703
482500,0.376812
483800,0.707951
484300,0.653326
484500,0.425391
484600,0.573439
485000,0.66835
486700,0.428261
486800,0.761506
486900,0.673966
487000,0.729979
488100,0.452812
488200,0.570635
488300,0.213516
488400,0.493933
488500,0.187758
488600,0.19914
489001,0.292145
489002,0.178205
490002,0.197308
490003,0.235891
490004,0.056295
491101,0.067296
491200,0.162393
492700,0.744551
492800,0.705809
492900,0.792528
494000,0.748271
495000,0.356839
496101,0.272727
496102,0.272593
496200,0.301699
497000,0.411642
498000,0.324082
499300,0.579657
499400,0.728282
500300,0.423134
501000,0.489631
503002,0.341319
504100,0.358088
507000,0.542301
508000,0.552609
509400,0.715935
510000,0.588293
512000,0.696897
512800,0.665971
512900,0.78343
513800,0.612628
514000,0.619526
515100,0.594545
515200,0.590523
515300,0.598958
515401,0.690226
516100,0.757282
516200,0.675916
517000,0.274223
518001,0.446771
519000,0.212054
520001,0.142857
520002,0.3209
521100,0.108179
521200,0.131703
521301,0.103175
521302,0.190708
521401,0.021293
521402,0.051346
521500,0.07708
522000,0.685492
523100,0.258709
523200,0.429505
523300,0.212637
523400,0.262947
523501,0.122646
523502,0.325859
523600,0.119153
523701,0.220472
523702,0.239447
523800,0.281167
524000,0.496759
525100,0.361111
525200,0.45508
525300,0.560561
526101,0.141394
526102,0.422658
526201,0.108108
526202,0.100812
526301,0.021881
526302,0.029568
550900,0.717901
551200,0.610699
551300,0.418712
551900,0.334286
552000,0.706546
552100,0.598291
552200,0.84041
552300,0.79495
552400,0.712239
560400,0.478389
560500,0.664493
560600,0.574519
561000,0.716484
561100,0.787431
561200,0.699888
